id_palabra,"Palabra","id_cronista","id_texto","cita","pagina","lengua","propuesta","nota","enlace"
290004,"Amancay/Auancay","29","T290011","como de la gente que con Alvarado en <b>Auancay</b> avia estado y de los vezinos del <i>Cuzco</i> se viniesen cada día a la cibdad de Los Reyes como viniesen algunos lastimados con palabras que avian avido con la gente de Almagro, estos estorvaron no oviese paz entre los dos governadores ","23v","","","","sin datos"
290005,"Anbato","29","T290012","Traydo a <i>Quito</i> el moço [Atabalipa] se rehiço de mucha gente y buena y rebolvio sobre los <i>cañares</i>. Viendo los <i>cañares</i> que no se podian anparar con el, determinaron de salir de paz y enbiaron diez mil niños con flores en las cabeças sus girnaldas, a pedir misilicordia y que no hiçiese mal a su <i>provinçia</i> ni a sus padres. Y el malvado cruel mando poner toda la gente del un cabo y del otro de los niños y tomolos en medio y los hiço degollar a todos. Esto fue hecho entre dos <i>pueblos</i> que se dize el uno <i>Mocha</i> y el otro <b>Anbato</b>.","48v","","","","sin datos"
290006,"Andaguaylas","29","T290013","y esto asi ordenado fuese por su <i>camino</i> y alcanço a su gente en <b>Andaguaylas</b> y dase muy gran prisa a caminar y llegado a la <i>provinçia</i> - de <i>Xauxa</i> envio un <i>capitan</i> con mucha gente que fuese a <i>sacrificar</i> [a] la <i>guaca</i> de <i>Pachacama</i> y si de oro y plata que le ofreçiese ","46v-47r","","","","sin datos"
290006,"Andaguaylas","29","T290014","Mediante este tiempo alla arriba en el <i>Cuzco</i> en una <i>provinçia</i> de <b>Andaguaylas</b> rebelose un <i>señor</i> contra el <i>Guascar</i> queriendole tomar - el <i>Cuzco</i> y pidio favor a los <i>señores</i> <i>guancas</i> de <i>Jauxa</i> que le guardasen aquel paso si <i>Guaynacava</i> biniese o enviase contra el gente y los <i>guancas</i> se le ofreçieron de lo haçer.","47v-48r","","","","sin datos"
290007,"Andes","29","T290015","y en <i>Quito</i> dizen fue alto de cuerpo y delgado y mui bien hablado en su <i>lengua</i> y amigo de pobres y honbre que oya a todos los menores de mui buen grado y al hombre que era malo aunque era <i>señor</i> mostravase contra el cruel y era hombre mui atentado que nunca el enojo le bençio ni por afiçion dexo de haçer justiçia y pues <i>señoreo</i> desde la <i>provinçia</i> de <i>Chile</i> hasta rio Caliente ques mas adelante de <i>Pasto</i> que ay del un cavo al otro pasadas de dos mil y doçientas leguas y la tierra dentro por los <b>Andes</b> y montañas zerca de ochenta o çien leguas desde la costa haçia alla","43r","","","","sin datos"
290008,"Angarais/Angaraes","29","T290016","y llegados [numerosos soldados y otros españoles]  a la <i>provinçia</i> de <i>Jauja</i> como estaban los <i>yndios</i> rebelados y los tomase divididos, los mataron [a los españoles] en <i>Jauja</i>, <i>Picoy</i> y <b>Angarais</b>.","18v","","","","sin datos"
290008,"Angarais/Angaraes","29","T290017","si aquello Su Magestad sabla que avía de castigar a todos los [pizarristas] que se avian hallado en los malos tratamientos de aquel <i>señor</i> Manu ynga [sic por <i>Mango Inga</i>], rovos de su casa, plata y oro y fuerças de sus <i>mugeres</i> hechas y muertes de hombres; y capitanes que los <i>naturales</i> mataron en <i>Xauja</i> y <i>Picoy</i> y <b>Angaraes</b>, con el capitan Morgodexo y Gonçalo de Tapia.","24r","","","","sin datos"
290009,"Añaquito","29","T290018","[el frayle Gedoco, flamenco, provinçial de San Françisco] dixole dexe vuestra señoria esta gente y metase en el monesterio y el governador Benalcazar vayase por detrás de los bolcanes con su gente y capitanes y buelvase a <i>Popayan</i>. Paresçiole poquedad al birrey y cobardia y no quiso porque le avisaron que ya benia el tirano [Gonçalo Piçarro] por <b>Añaquito</b>, una legua de alli. Saliole a reçevir y a la asomada de <b>Añaquito</b> que todos se vieron unos a otros representole el tirano la vatalla en un llano y alli lo desvarato que no tubieron resistençia los del desdichado visorrey. ","37r","","","","sin datos"
290010,"Aporima/Apurima","29","T290019","Llego a San Miguel el tirano [Gonçalo Piçarro] y enbio a - poblar a los <i>bracamoros</i> de aquellos tiranos soldados. Fuyose Toro haçia <b>[A]porima</b> como supo de aquellas cartas y como despues paresçio mentira avisaronle y volvio al <i>Cuzco</i> y mato a Martin de Salas y a Bauptista y corto la mano a un Hernando Diaz y afrento a no se quantos.","37v","","","","sin datos"
290010,"Aporima/Apurima","29","T290020","savido por el <i>Guascar</i> y por sus tios, adereçan su gente y vienen a reçevirle a la puente de <b>Apurima</b> y alli le desvarataron y bolvio fuyendo [sic por huyendo]. Yba tras el el <i>señor</i> de <i>Urcos</i> y <i>Moyna</i> con mucha gente. Yvale dando alcanze y el fuese retrayendo azia <i>Jauxa</i> creyendo que los <i>guancas</i> le favoreszerian y al fin fuese retrayendo haçia los <i>chachapoyas</i>","48r","","","","sin datos"
290011,"Araya","29","T290021","con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <b>Araya</b> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol","42r","","","","sin datos"
290012,"Ariquipa/Arequipa","29","T290022","fue ocasión de destruir aquel misero bando de Almagro y favoresçer a los mas culpados poblo el governador Piçarro muchos de sus amigos en el <i>Cuzco</i> y los <i>charcas</i> que avia poblado Hernando Piçarro, <b>Ariquipa</b> o a <i>Guamanga</i>, <i>chachapoyas</i> La Culata y en <i>Quito</i> y en Trujillo entremetio algunos y en San Miguel de sus amigos de los que avian sido con el en la vatalla","29v","","","","sin datos"
290012,"Ariquipa/Arequipa","29","T290023","Tambien abian enviado desde <i>Guamanga</i> se fuese por <b>Ariquipa</b> a Garçia de Alvarado y que se volbiese la buelta del <i>Cuzco</i> a do llegaron estos dos a tiempo que se mataron entranvos como arriva digo. Tuvose notiçia que Baca de Castro estava en <i>Jauxa</i> y que venia con toda la gente, que se avia pregonado por governador. Envio del <i>Cuzco</i> don Diego al jurado Gonçalo Hernandez y al liçençiado de la Gama - a que negoçiasen con Baca de Castro que no queria tener pasion ","31v-32r","","","","sin datos"
290012,"Ariquipa/Arequipa","29","T290024","El tirano Caravajal dio sobre Çenteno y desbaratolo y huyeronse muchos de los suyos en la Nueba España en un barco que allaron en la costa de <b>Arequipa</b> y Zenteno tubo a escondido mucho tiempo Pedro de Pue[l]]les en <i>Quito</i> avia hecho sus capitanes para guardar aquel","38r","","","","sin datos"
290012,"Ariquipa/Arequipa","29","T290025","Salio Diego Çenteno y fuese [a] <b>Ariquipa</b>. Juntaronse con el todos los vezinos y un Billegas questava por corregidor. Vinieron de los <i>Charcas</i> vezinos y soldados y del <i>Cuzco</i> y de <i>Guamanga</i> mucha gente y se ajuntaron con Çenteno porque todo el corregidor del <i>Cuzco</i> lo avia muerto su suegro sobre çierta pasion que entrellos avia","39v","","","","sin datos"
290012,"Ariquipa/Arequipa","29","T290026","pues bisto por Gonçalo Piçarro que todos los que le avian sacado de su casa y ser mas culpados que no el y agora averle dexado desanparado y alçadose por Su Magestad por consejo de su maese de canpo, fuese por los llanos hasta <b>Ariquipa</b> y subiose al <i>Collao</i>.","39v","","","","sin datos"
290013,"Aruba","29","T290027","con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <b>Aruba</b>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol","42r","","","","sin datos"
290014,"asientos","29","T290028","Esto de los <i>correos</i> mando que siempre residiesen en sus <b>asientos</b> para enviar el mensaje que le pertenesçiese a <i>Chile</i> o a <i>Quito</i> o a donde quiera que - fuese menester y oviese menester de enviar algun aviso que en quinçe dias fuese a <i>Chile</i> con el recado y en otros quinçe volviese y por el consiguiente a <i>Quito</i>.","45v-46r","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290029","Pues abido y repartido el thesoro que en <i>Cajamarca</i> avido entre toda su gente y caballeros en la toma y muerte de <b>Atabalipa</b> fueronse el <i>camino real</i> hazia <i>Jauja</i> porque Diego de Agüero que fue a ver la tierra escrevio del thesoro que en Jausa [sic por <i>Jauja</i>] avia visto en el <i>adoratorio</i> de los <i>yndios</i> y llegado allí el governador [Francisco Pizarro] hizo sus partes de todo lo que allo y tomo y quiso fundar alli un <i>pueblo</i>...","15v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290030","porque no le llevasen al <i>inga</i> Almagro al <i>Chile</i> porque entendio averle prometido el <i>inga</i> a Almagro mas cantidad de oro que lo que <b>Atabalipa</b> avia dado en <i>Cajamaica</i> y todo en texuelos de oro","17v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290031","Dixole Hernando de Piçarro [a Mango Inga] que avia dicho [Guascar] antes que muriese que, si le daban el <i>señorio</i> y la <i>borla</i> de la tierra, que él daria más que su hermano <b>Atabalipa</b> avia dado como no le quebrasen bagisas [sic por vasijas] de oro / y plata, el <i>inga</i> [Mango Inga] le respondio que en aquel tiempo hera mochacho y que no tenia cuenta con ello y sus tios Ylaoma [sic por <i>Villac Umu</i>] [y] <i>Quiso Yupangue</i>, <i>señores</i>, lo avian escondido y que ya heran muertos","18r/18v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290032","y como tomase aquella <i>señora</i> por su <i>muger</i> empreñose del [de Guaynacava] y pario un hijo que se llamo <b>Atavalipa</b> tomando el nonbre del valle que se dezia <i>Otavalo</i>","47v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290033","murio <i>Guainacava</i> de una enfermedad que le dio muy reçia que debia de ser perlesia. Sacaronle las tripas y enbalsamaronle el cuerpo porque enviaron por el valsamo al <i>Cuzco</i> y enviaron sus primos por el cuerpo … como el muchacho <b>Atabalipa</b> fuese grandeçillo, hiço enterrar las tripas del padre y dixo que se queria yr al <i>Cuzco</i>","48v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290034","Llegaron los christianos a <i>Cajamarca</i> y pusieronse en el <i>tanbo real</i> y su artilleria en un asiento alto y <i>adoratorio</i>. Era Candia capitan del artilleria y el <b>Atabalipa</b> estava un poco mas adelante en otras <i>casas</i> con toda su gente ","49r","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290035","y como el frayle le mostrase los ebangelios y los tomase el <b>Atabalipa</b> en las manos y no entendiese la letra, arrojolo por el suelo no haçiendo caso del enojose el padre … porque vieron que se le recogia mucha gente el tirano del <b>Atabalipa</b> determino de prender a los christianos y matarlos y sale un dia con toda su gente armada y vase para el aposento de los cristiaos y entra en los <i>tanvos</i> puesto en sus andas con toda su gente armada","49r","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290036","Y el governador arremete a las andas del <b>Atabalipa</b> y tiene dellas reçiamente dando voçes y como Candia obiese soltado la artilleria, de temor que tubieron los <i>yndios</i> buelben uyendo y aprietanse con una pared del <i>tanvo</i> que ayna la derrivaran. Prendieronle al tirano y dioles de miedo mucha plata y oro que les yncho el <i>buio</i> del sol.","49v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290037","Un dia le vino nuebas como su hermano el <i>Guascar</i> lo trayan ya preso y beniendo aquel <i>señor</i> ya preso con aquel <i>Quizquiz</i> y <i>Calicuchima</i> de los <i>yndios</i> que yban desvaratados, supo como estava preso su hermano <b>Atabalipa</b> y como avia dado a los cristianos aquel <i>buyo</i> de oro y plata","49v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290038","dixo [Guascar] que si a el le davan el <i>señorio</i> de la tierra aquellos cristianos y aquel capitan, le ynchiria el <i>buio</i> grande de oro y plata … y como el <i>Quizquiz</i> fuese muy abisado, envio al <i>Calicuchima</i>, el otro <i>capitan</i> dixese aquello al <b>Atabalipa</b> que no lo entendiesen los cristianos","49v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290039","y como aquel tirano de <b>Atabalipa</b> lo supo temiendose que matarian a el y davan al <i>Guascar</i> el <i>señorio</i>, determina de haçerse malo y enbio a llamar al governador Piçarro que le benia nuebas que el <i>Guascar</i> su hermano era muerto y como el goernador lo oyo respondiole no se te de nada pues tu estas vivo y despacha <i>mensajero</i> que lo matasen. ","49v","","","","sin datos"
290015,"Atavalipa/Atabalipa","29","T290040","Estava con el governador [Françisco Piçarro] una <i>lengua</i> que se llamaba [F]elipillo y este <b>Atabalipa</b> tenia una <i>india</i> <i>señora</i> mui hermosa que despues de bautizada la llamaron Angelina y esta <i>lengua</i> enamorado della arguyo el <b>Atabalipa</b> que queria rebelarse y matar a los cristianos e hiçoselo entender al governador. Creyendoselo Piçarro hazelo matar por donde pago el tirano [Atavalipa] la muerte de su hermano [Guascar]. Esta <i>lengua</i> fue el que se quiso rebelar en <i>Chile</i> y matar al adelantado Almagro y a su gente savido estar revelado el <i>Peru</i>.","50r","","","","sin datos"
290016,"atavillos","29","T290041","[Françisco Piçarro] encaminolos que se fuesen haçia <i>La Nasca</i> por los llanos y el quedose en <i>Lima</i> y embio con alguna gente a Montenegro, vecino que fue a los atadillos [sic por <b>atauillos</b>] y Guanico [sic por <i>Guanuco</i>] y diese guerra a vn <i>Hilla Topa</i> <i>ynga</i> que andaba por ay perturbando el serviçio de los <i>yndios</i> y el governador [Almagro] fuese tras el licençiado Espinosa y los mas capitanes y alcançolos en el valle de Hinche [sic por <i>Chincha</i>]. Fueronse todos haçia <i>La nasca</i>.","22r","","","","sin datos"
290017,"auyamas","29","T290042","en las sierras ay otra orden que en los llanos, que los <i>yndios</i> que texen e ylan e haçen ropa llaman <i>cunbicos</i> que nosotros llamamos texedores y a las <i>mugeres</i> les haçia trabajar y azer comidas y senbrar sus legunbres, <i>papas</i>, <i>mayz</i> o la <i>quinoa</i>, <i>camotes</i> que en Santo Domingo llamavan <i>vatatas</i>, calavazas que en otra parte les llaman <b>auyamas</b>","43v","","","","sin datos"
290018,"Auyapal","29","T290043","con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <b>Auyapal</b>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol","42r","","","","sin datos"
290019,"axi","29","T290044","Abiase fuido [sic por huido] de la <i>çiudad</i> de Los Reyes el obispo frai Biçente de Valverde y el doctor Velazques, su cuñado y un Hordaz y otros y fueron a dar a la ysla de laguna [sic por <i>La Puna</i>] y alli los mataron los <i>indios</i> y los comieron con <b>axi</b>.","31v","","","","sin datos"
290020,"ayllaron/ahillaron","29","T290045","adelantose vn sobrino de un Juan de Panes vecino de <i>Panama</i> que yba en ün buen caballo y los yndios le <b>ayllaron</b> [sic] el caballo y le ataron las manos y los pies y le - tomaron de la silla y se lo llevaron","19r","","","","sin datos"
290020,"ayllaron/ahillaron","29","T290046","como los <i>yndios</i> fuesen muchos, tiraban tantas de [sic] piedras con las hondas [sic por <i>waraka</i> y con las manos desde arriba de lo alto que dieron a Pedro de Lerma, capitan, una pedrada en los dientes que le quebraron los dientes y la boca. <b>Ahillaron</b> a Diego de Agüero / y a su caballo. Vieronse en tanto aprieto en aquel dia que rescibieron muy gran trabajo; quitaron a Diego de Agüero y a su caballo no pudieron quitallo. Aquel mancebo, sobrino de Juan de Panes, que a el y su caballo delante de todos lo hizieron pedaços. Retruxo Pedro de Lerma a la <i>cibdad</i> y ponese sus guardas y sentinelas al rededor de la <i>cibdad</i>.","19r/19v","","","","sin datos"
290021,"Banba","29","T290047","Llegó al rio <b>Banba</b> don Diego de Almagro; ya don Pedro [de Alvarado] y su gente estaba en la <i>provincia</i> de <i>Loysa puruaes</i>","16r","","","","sin datos"
290022,"Barquisimeto","29","T290048","con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <i>Beragua</i>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <b>Barquisimeto</b>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol","42r","","","","sin datos"
290023,"Beragua","29","T290049","con ebidente raçon y bastante ynformaçion se puede entender y creer que los pobladores de nuestra España pudieron aportar a las partes del sur por el mar oçeano por las raçones ebidentes y de autoridad Çesarea Magestad estando toda la tierra firme que encomiença desde la Nuruega y corre la costa a La Florida y rio de Palmas y Nueba España, <i>Yucatan</i> y Honduras, <i>Nicaragua</i>, Desaguadero de <i>Nicaragua</i>, Deragua [sic por <b>Beragua</b>], Nonbre de Dios, <i>Senu</i>, Cartaxena, Rio Grande Santa Marta, <i>Tapiparaguna</i>, Cabo de la Bela, Golfo de Neçuela [sic por Nicuesa], <i>Coquiguacoa</i>, la isla de <i>Aruba</i>, Urazao [sic por <i>Curazao</i>], <i>Paguachoa</i>, Barequiçinleto [sic por <i>Barquisimeto</i>], <i>Tucuyo</i>, <i>Burburata</i>, <i>Maracapana</i>, la punta y cabo de <i>Araya</i> y de la buelta a la costa, <i>Auyapal</i>, <i>Marañon</i>, rios que dezienden del <i>Peru</i> y Nuebo Reyno y prosigue la costa al <i>Brasil</i> y al rio de la plata y va al estrecho de Magallanes y va adelante la costa hasta llegar a la espeçeria debajo del sol","42r","","","","sin datos"
290024,"Bilcas","29","T290050","y ansi se fueron haçia <i>Guamanga</i> con toda su gente y se puso dos leguas de la otra banda del <i>pueblo</i> asento real en un asiento que se dize <i>Chupas</i> saliose don Diego del <i>Cuzco</i> con toda su gente e hiçose capitan general Juan Balsa. Tardose mucho en el <i>camino</i> porque se avian hecho unos quatro o çinco tiros que oy dia estan en el <i>Cuzco</i> y vinieronse hasta <b>Bilcas</b>","32r","","","","sin datos"
290025,"Biticos","29","T290051","Y como el governador Piçarro avia enviado al <i>inga</i> aquel quartago arriva dicho y el <i>ynga</i> lo avia enviado a llamar, fuimos alla con el a un <i>tanbo</i> questa en las espaldas de <b>Biticos</b>, arriva de <i>tanbo</i>, entre unas sierras y enbiamos mensajero al <i>inga</i> para que biniese a berse con el y el <i>ynga</i> hecho una çelada que tomase un paso para matar al gobernador Piçarro. Fue dios servido que andavamos çiertos soldados en un <i>pueblo</i> de <i>yndios</i> y bimos pasar unos <i>hindios</i> por la sierra a tomar el paso benimos a fisar al governador y salimonos uyendo y aorco el <i>ynga</i> al quartago de una peña - y como lo supiese el governador Piçarro enbio a su hermano Gonçalo Piçarro tras el <i>ynga</i> y prendile la <i>muger</i> que era una <i>señora coya</i> e hiçola aorcar y quemar. Dezia tantas lastimas aquella <i>señora</i> que a todos puso gran lastima.","29v - 30r","","","","sin datos"
290026,"borla","29","T290052","Dixole Hernando de Piçarro [a Mango Inga] que avia dicho [Guascar] antes que muriese que, si le daban el <i>señorio</i> y la <b>borla</b> de la tierra, que él daria más que su hermano <i>Atabalipa</i> avia dado como no le quebrasen bagisas [sic por vasijas] de oro / y plata, el <i>inga</i> [Mango Inga] le respondio que en aquel tiempo hera mochacho y que no tenia cuenta con ello y sus tios Ylaoma [sic por <i>Villac Umu</i>] [y] <i>Quiso Yupangue</i>, <i>señores</i>, lo avian escondido y que ya heran muertos","18r/18v","","","","sin datos"
